City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
176,Airai,-8.9266,125.4092,68.9,43,19,3.83,TL,few clouds
177,Pithoro,25.5167,69.3833,81.64,85,100,8.5,PK,overcast clouds
178,Nevyansk,57.4953,60.2112,62.78,92,13,1.3,RU,few clouds
179,Floro,61.5996,5.0328,56.23,100,100,17.27,NO,mist
180,Kintampo,8.0563,-1.7306,71.58,81,66,3.53,GH,broken clouds
181,Sandwick,60.0,-1.25,49.82,81,100,20.71,GB,overcast clouds
182,Cachoeirinha,-29.9511,-51.0939,66.6,94,75,10.36,BR,mist
183,Saint Anthony,45.0205,-93.218,74.82,57,0,12.66,US,clear sky
184,Ajaccio,42.0,8.9167,71.65,73,0,5.75,FR,clear sky
185,Bluff,-46.6,168.3333,46.8,89,100,26.96,NZ,overcast clouds
186,Alyangula,-13.8483,136.4192,77.74,62,0,12.17,AU,clear sky
187,Nhulunbuy,-12.2333,136.7667,79.41,69,75,17.27,AU,broken clouds
188,Akyab,20.15,92.9,80.6,82,9,5.01,MM,clear sky
189,Tulum,20.2167,-87.4667,79.43,83,97,6.24,MX,overcast clouds
190,Fairbanks,64.8378,-147.7164,77.49,49,75,11.5,US,broken clouds
191,Padalarang,-6.8378,107.4728,72.21,77,100,1.57,ID,overcast clouds
192,Qom,34.6401,50.8764,77.9,41,0,5.91,IR,clear sky
193,Sambava,-14.2667,50.1667,68.29,85,31,9.48,MG,light rain
194,Nanortalik,60.1432,-45.2371,42.6,96,100,7.52,GL,overcast clouds
195,Xiongzhou,25.1167,114.3,91.02,58,62,3.49,CN,broken clouds
196,Pemangkat,1.1667,108.9667,78.51,86,87,6.67,ID,overcast clouds
197,Cochabamba,-17.3895,-66.1568,65.95,27,14,8.05,BO,few clouds
198,Mirnyy,62.5353,113.9611,75.24,73,0,7.0,RU,clear sky
199,Talnakh,69.4865,88.3972,58.21,64,33,6.46,RU,scattered clouds
200,Portland,45.5234,-122.6762,101.84,30,0,10.36,US,clear sky
201,Igrim,63.1906,64.4162,51.85,66,1,8.93,RU,clear sky
202,Tiksi,71.6872,128.8694,50.63,80,72,4.59,RU,broken clouds
203,Goderich,43.7501,-81.7165,68.32,60,0,4.61,CA,clear sky
204,Aitape,-3.1374,142.3475,84.63,70,19,8.41,PG,few clouds
205,Saint-Louis,16.3333,-15.0,82.04,71,94,6.02,SN,moderate rain
206,Lasa,46.6166,10.7002,61.36,95,100,5.12,IT,overcast clouds
207,New Glasgow,45.5834,-62.6486,74.79,85,100,13.8,CA,overcast clouds
208,Ostrovnoy,68.0531,39.5131,52.5,75,93,11.86,RU,overcast clouds
209,Koslan,63.4564,48.8989,48.09,77,8,4.0,RU,clear sky
210,Anadyr,64.75,177.4833,48.7,76,40,4.47,RU,scattered clouds
211,Oranjemund,-28.55,16.4333,55.33,85,0,3.38,NA,clear sky
212,Esperance,-33.8667,121.9,54.55,54,1,20.83,AU,clear sky
213,Sakakah,29.9697,40.2064,85.57,16,0,4.63,SA,clear sky
214,Khandyga,62.6667,135.6,73.78,46,11,1.92,RU,few clouds
215,Sussex,41.1834,-74.6663,82.35,79,75,4.61,US,broken clouds
216,Beni Suef,29.0731,31.0979,81.07,36,0,6.6,EG,clear sky
217,Atar,20.5169,-13.0499,91.72,41,99,6.49,MR,overcast clouds
218,Hatillo,18.4863,-66.8254,83.1,87,79,11.99,PR,broken clouds
219,Nipawin,53.3668,-104.0009,68.04,60,75,17.27,CA,thunderstorm
220,Njombe,-9.3333,34.7667,48.09,96,19,6.38,TZ,few clouds
221,Taoudenni,22.6783,-3.9836,99.07,11,0,8.37,ML,clear sky
222,Manado,1.487,124.8455,84.97,74,20,2.3,ID,few clouds
223,Buluang,13.3068,123.3425,86.25,70,100,3.87,PH,overcast clouds
224,San Cristobal,7.7669,-72.225,75.38,97,37,2.06,VE,scattered clouds
225,Lyuban,52.7985,28.0048,56.23,91,0,3.4,BY,clear sky
226,Polunochnoye,60.8697,60.4153,53.13,72,100,3.33,RU,overcast clouds
227,Nanakuli,21.3906,-158.1547,87.75,46,75,12.66,US,broken clouds
228,Vila Velha,-20.3297,-40.2925,69.94,87,40,0.0,BR,scattered clouds
229,Lorengau,-2.0226,147.2712,82.47,78,91,7.63,PG,overcast clouds
230,Ribeira Grande,38.5167,-28.7,74.52,89,10,5.06,PT,clear sky
231,Te Anau,-45.4167,167.7167,41.59,98,100,2.53,NZ,overcast clouds
232,Zacualpan,21.25,-105.1667,82.2,74,100,2.01,MX,overcast clouds
233,Bubaque,11.2833,-15.8333,78.04,83,100,8.63,GW,moderate rain
234,Waipawa,-41.4122,175.5153,52.88,97,100,9.73,NZ,overcast clouds
235,Kavaratti,10.5669,72.642,81.45,74,43,16.51,IN,scattered clouds
236,Bima,-8.4667,118.7167,81.41,64,96,5.48,ID,overcast clouds
237,Port Hardy,50.6996,-127.4199,69.98,68,20,17.27,CA,fog
238,Camana,-16.6228,-72.7111,60.84,86,68,8.14,PE,broken clouds
239,Semirom,31.4167,51.5667,64.53,12,5,3.33,IR,clear sky
240,Nizwa,22.9333,57.5333,83.32,67,100,5.59,OM,moderate rain
241,Ust-Tsilma,65.441,52.1498,48.13,80,100,8.05,RU,overcast clouds
242,Xingyi,24.1877,102.817,69.21,76,0,3.8,CN,clear sky
243,Chatakonda,17.55,80.65,77.52,91,100,1.54,IN,overcast clouds
244,Ilulissat,69.2167,-51.1,38.08,95,100,2.66,GL,overcast clouds
245,Zaysan,47.4667,84.8667,69.89,26,0,8.05,KZ,clear sky
246,Ancud,-41.8697,-73.8203,46.83,94,100,5.73,CL,light rain
247,Chiang Mai,18.75,99.0,82.9,78,20,0.0,TH,few clouds
248,Siilinjarvi,63.0833,27.6667,64.42,77,0,9.22,FI,clear sky
249,Pisco,-13.7,-76.2167,60.85,88,20,11.5,PE,mist
250,Rocha,-34.4833,-54.3333,59.22,97,100,11.41,UY,heavy intensity rain
251,Kahului,20.8947,-156.47,89.62,65,40,26.46,US,scattered clouds
252,Torbay,47.6666,-52.7314,68.88,92,100,21.85,CA,overcast clouds
253,Dhidhdhoo,6.8833,73.1,81.61,79,45,18.16,MV,scattered clouds
254,Nishihara,26.1842,127.7558,87.46,79,20,11.5,JP,few clouds
255,Boulder,40.0833,-105.3505,84.83,30,0,8.05,US,clear sky
256,Caranan,13.5167,123.0156,84.96,73,100,4.32,PH,overcast clouds
257,Kant,27.8,79.8,83.03,71,8,7.4,IN,clear sky
258,Cherskiy,68.75,161.3,56.3,40,100,12.59,RU,overcast clouds
259,Maxixe,-23.8597,35.3472,59.25,87,0,7.56,MZ,clear sky
260,Kununurra,-15.7667,128.7333,80.58,19,46,12.66,AU,scattered clouds
261,Cairns,-16.9167,145.7667,80.11,70,100,6.91,AU,overcast clouds
262,Luanda,-8.8368,13.2343,70.63,88,97,5.59,AO,overcast clouds
263,Carnarvon,-24.8667,113.6333,63.1,39,0,8.08,AU,clear sky
264,Aswan,24.0934,32.907,88.9,13,0,5.75,EG,clear sky
265,Marysville,48.0518,-122.1771,89.46,55,0,11.5,US,clear sky
266,Lahat,-3.8,103.5333,76.15,80,82,0.4,ID,broken clouds
267,Lahij,13.1667,44.5833,87.1,47,93,3.67,YE,overcast clouds
268,Xichang,27.8964,102.2634,69.87,84,23,1.79,CN,few clouds
269,Badarganj,25.674,89.0549,82.09,79,23,5.79,BD,moderate rain
270,Mamakan,57.8161,114.0028,79.16,58,2,4.27,RU,clear sky
271,Adrar,20.5022,-10.0711,91.74,31,11,7.49,MR,few clouds
272,Narsaq,60.9167,-46.05,45.39,91,100,1.72,GL,light rain
273,Oistins,13.0667,-59.5333,80.69,89,75,11.5,BB,broken clouds
274,Piacabucu,-10.4056,-36.4344,72.5,80,100,8.93,BR,overcast clouds
275,Agadir,30.4202,-9.5982,77.45,36,61,5.39,MA,broken clouds
276,Kenai,60.5544,-151.2583,63.03,73,75,25.32,US,broken clouds
277,Devils Lake,48.1128,-98.8651,78.78,63,75,10.36,US,broken clouds
278,Castro,-24.7911,-50.0119,58.78,74,75,2.68,BR,broken clouds
279,Husavik,66.0449,-17.3389,48.97,83,100,1.23,IS,overcast clouds
280,Pirenopolis,-15.8525,-48.9592,72.09,48,0,7.52,BR,clear sky
281,Villanueva,15.3167,-88.0,83.39,70,20,12.66,HN,few clouds
282,Ozernovskiy,51.5,156.5167,53.62,86,100,8.55,RU,overcast clouds
283,Severnyy,50.677,36.5532,60.84,100,0,4.47,RU,clear sky
284,Rengo,-34.4167,-70.8667,50.92,89,100,2.48,CL,overcast clouds
285,Bulgan,48.8125,103.5347,55.22,88,100,3.27,MN,overcast clouds
286,Camacha,33.0833,-16.3333,67.42,94,40,17.27,PT,scattered clouds
287,Petropavlovsk-Kamchatskiy,53.0452,158.6483,59.59,72,75,6.71,RU,broken clouds
288,Huarmey,-10.0681,-78.1522,63.61,84,100,9.57,PE,overcast clouds
289,Ketchikan,55.3422,-131.6461,68.47,68,20,13.8,US,few clouds
290,Boddam,57.4667,-1.7833,52.18,81,69,20.54,GB,broken clouds
291,Lodja,-3.4833,23.4333,75.22,64,100,1.9,CD,overcast clouds
292,Ulaangom,49.9811,92.0667,63.03,42,7,4.92,MN,clear sky
293,Susa,35.8254,10.637,80.38,89,0,2.3,TN,clear sky
294,Talakan,50.3167,130.3667,80.76,60,14,3.22,RU,few clouds
295,Sumbe,-11.2061,13.8437,68.97,93,41,7.94,AO,scattered clouds
296,Nizhneangarsk,55.7833,109.55,53.53,91,62,5.39,RU,light rain
297,Merauke,-8.4667,140.3333,79.39,75,99,14.54,ID,overcast clouds
298,Sabang,5.8933,95.3214,80.58,79,100,12.48,ID,overcast clouds
299,Sokoni,-6.4333,39.55,73.26,73,40,17.09,TZ,scattered clouds
300,Pontian Kecil,1.4801,103.3899,77.32,93,100,6.24,MY,moderate rain
301,Moerai,-22.4333,-151.3333,70.12,61,59,16.2,PF,broken clouds
302,Hofn,64.2539,-15.2082,51.44,86,6,2.06,IS,clear sky
